id    | role    | slots                          | source                                   | destination                              | 
436   | rider   |               [10, 11, 12, 13] | (-121.93646683911231, 37.49698678773249) | (-122.2130810177083, 37.47830893455604) | 
437   | driver  |                [9, 10, 11, 12] | (-121.98121546778765, 37.55351997511416) | (-122.07668429468423, 37.390232010776415) | 
438   | driver  |                            [9] | (-122.01029318718952, 37.55833839607821) | (-122.11568185471448, 37.4726291991416) | 
439   | driver  |                      [5, 6, 7] | (-122.00481799873523, 37.56131689342909) | (-122.06720934630438, 37.40558722253991) | 
440   | rider   |                  [7, 8, 9, 10] | (-122.0109964816931, 37.558649566757595) | (-122.21631174147412, 37.4790184537355) | 
441   | rider   |                      [6, 7, 8] | (-121.9418235104071, 37.506316043465425) | (-122.15102371831864, 37.44386444809907) | 
442   | rider   |                        [9, 10] | (-122.00552298543867, 37.55609362329666) | (-122.15176071261125, 37.44907094329729) | 
443   | rider   |                  [7, 8, 9, 10] | (-121.93356663296379, 37.50053837667274) | (-122.04355310030914, 37.37218173420728) | 
444   | rider   |       [2, 3, 4, 5, 6, 7, 8, 9] | (-121.93893778007065, 37.499740812381035) | (-122.14402180544359, 37.468883876555736) | 
445   | rider   |                         [8, 9] | (-122.00673277926037, 37.55813604542653) | (-122.14324086183896, 37.46833477604185) | 
446   | driver  |            [9, 10, 11, 12, 13] | (-121.93966513148486, 37.50200588278058) | (-122.25967871651383, 37.49699000203724) | 
447   | driver  |       [1, 2, 3, 4, 5, 6, 7, 8] | (-121.94203369029151, 37.50157587468719) | (-122.16466692295288, 37.487477649756364) | 
448   | rider   |                      [7, 8, 9] | (-121.94064354454265, 37.504440434849) | (-122.05597590714353, 37.36574368038106) | 
449   | driver  |                        [9, 10] | (-121.95709042662628, 37.52768801912083) | (-122.13727807547382, 37.49532176050426) | 
450   | rider   |                      [4, 5, 6] | (-122.0075320576698, 37.5569970596662) | (-122.22659633231012, 37.48435270162097) | 
451   | rider   |    [5, 6, 7, 8, 9, 10, 11, 12] | (-121.93960738893011, 37.50409488981876) | (-122.08400860154991, 37.41849306694415) | 
452   | rider   |                       [10, 11] | (-121.93900593649597, 37.495274870417035) | (-122.15072125045887, 37.49731784052137) | 
453   | driver  |                      [3, 4, 5] | (-121.95118594790621, 37.531937471790954) | (-122.20846606573663, 37.50577300269494) | 
454   | driver  |                         [8, 9] | (-121.95029433400563, 37.5276733379415) | (-122.24932898884637, 37.5200576993981) | 
455   | rider   |                            [9] | (-121.97611590597215, 37.56442896933364) | (-122.15919527193034, 37.49386275271143) | 
456   | rider   |                      [6, 7, 8] | (-121.93953586016437, 37.50188681936056) | (-122.12220680116486, 37.44100848696477) | 
457   | rider   |                [2, 3, 4, 5, 6] | (-121.94737697863998, 37.52958282375041) | (-122.08722579953506, 37.39219246632798) | 
458   | rider   |                     [8, 9, 10] | (-122.00792055225311, 37.553386890250756) | (-122.1069565934103, 37.48534737203335) | 
459   | rider   |                      [5, 6, 7] | (-121.97179197732187, 37.561145888400596) | (-122.08767495912437, 37.38449817453913) | 
460   | rider   |                   [5, 6, 7, 8] | (-122.00864469354265, 37.55875728194756) | (-122.14009117075263, 37.468282358658975) | 
461   | driver  |                   [11, 12, 13] | (-121.97446146568636, 37.56254526632326) | (-122.08820145269547, 37.42302927401688) | 
462   | driver  |               [11, 12, 13, 14] | (-121.97738546954237, 37.55759988854711) | (-122.06092035229385, 37.356848812115516) | 
463   | driver  |                  [7, 8, 9, 10] | (-121.94410484835105, 37.499056345030745) | (-122.24317675862514, 37.50026097136907) | 
464   | driver  |                       [12, 13] | (-122.00546882332434, 37.56021045806324) | (-122.16276550798415, 37.49907932554467) | 
465   | rider   |                      [3, 4, 5] | (-121.9385023700834, 37.49677490179189) | (-122.14377721865614, 37.46865320742977) | 
466   | driver  |        [9, 10, 11, 12, 13, 14] | (-121.9396809922912, 37.50152221146743) | (-122.22404934745899, 37.50527565393066) | 
467   | rider   |                       [10, 11] | (-122.00702072560898, 37.556685450079115) | (-122.22881725265195, 37.516098287063706) | 
468   | rider   |                   [6, 7, 8, 9] | (-121.94440489699407, 37.50607217674645) | (-122.1288144139822, 37.489635594647275) | 
469   | rider   |                      [5, 6, 7] | (-121.95496510984003, 37.5348428926268) | (-122.15017824694715, 37.460206226682416) | 
470   | driver  |                      [1, 2, 3] | (-121.97689355664161, 37.55800671612044) | (-122.20262943250039, 37.481342504201045) | 
471   | rider   |          [1, 2, 3, 4, 5, 6, 7] | (-121.98083009460164, 37.55668108239663) | (-122.14293211188351, 37.49399377659698) | 
472   | rider   |                      [7, 8, 9] | (-121.95332267571645, 37.532965678530005) | (-122.16861587566801, 37.47984326690836) | 
473   | rider   |                     [8, 9, 10] | (-121.97378073953712, 37.56058845028188) | (-122.07322557265267, 37.409570600155654) | 
474   | driver  |                   [10, 11, 12] | (-122.00905169490473, 37.558218499684294) | (-122.13653042437474, 37.485502599338844) | 
475   | rider   |               [6, 7, 8, 9, 10] | (-121.97472898294654, 37.56326648972081) | (-122.23107959444793, 37.489732719562944) | 
476   | driver  |                            [5] | (-121.9819301794114, 37.555998375324975) | (-122.10377696025938, 37.38908325160301) | 
477   | rider   |                      [7, 8, 9] | (-121.95471460611701, 37.53287232651125) | (-122.21119845642994, 37.48335356617033) | 
478   | driver  |                            [7] | (-122.00846256762172, 37.55154833925255) | (-122.09141482203744, 37.38507350650213) | 
479   | rider   |                      [3, 4, 5] | (-121.9383081168333, 37.50296867419042) | (-122.25158261044555, 37.48092252082571) | 
480   | driver  |               [10, 11, 12, 13] | (-121.94034035674554, 37.502053123293145) | (-122.235875984218, 37.49303279032072) | 
481   | rider   |                    [9, 10, 11] | (-122.01014148986631, 37.55358420692473) | (-122.08732544210204, 37.41754995718772) | 
482   | rider   |                         [7, 8] | (-121.98100491557994, 37.561265723273614) | (-122.10817296106364, 37.449243261504094) | 
483   | rider   |                [9, 10, 11, 12] | (-122.0048699936472, 37.55173069713085) | (-122.07629724659093, 37.41722735639875) | 
484   | driver  |                            [7] | (-121.98007759265082, 37.55791630127082) | (-122.0721022388144, 37.424016504219935) | 
485   | driver  |                      [6, 7, 8] | (-121.94002881162827, 37.50199569998592) | (-122.22548629379578, 37.488531435180484) | 
486   | rider   |                            [6] | (-121.95529304985354, 37.53812526338134) | (-122.1277123425004, 37.44656694308632) | 
487   | driver  |     [8, 9, 10, 11, 12, 13, 14] | (-121.98356186752171, 37.555989798843235) | (-122.16362343260062, 37.45394406338519) | 
488   | rider   |                [3, 4, 5, 6, 7] | (-121.95984237161237, 37.52974563360266) | (-122.15254919680565, 37.45583137387515) | 
489   | rider   |               [6, 7, 8, 9, 10] | (-121.98137590638159, 37.5531095200114) | (-122.15232130352715, 37.49862956652907) | 
490   | rider   |                    [9, 10, 11] | (-121.97862537830883, 37.55689929829444) | (-122.1597816856335, 37.45767129100155) | 
491   | driver  |                      [1, 2, 3] | (-121.9798042553638, 37.55848059304566) | (-122.23274104996928, 37.48622353653791) | 
492   | driver  |                        [9, 10] | (-121.97844015620745, 37.56005934112482) | (-122.21228328448123, 37.490573594703136) | 
493   | driver  |                        [9, 10] | (-121.93455155600773, 37.503105865447964) | (-122.19226699506181, 37.486591641430444) | 
494   | rider   |      [7, 8, 9, 10, 11, 12, 13] | (-122.00748398046396, 37.557526012133785) | (-122.14009122341962, 37.473715841209135) | 
495   | rider   |                   [10, 11, 12] | (-121.94504772054236, 37.50365077907493) | (-122.08056036298453, 37.38741813829007) | 
496   | driver  |                         [5, 6] | (-121.94274083070246, 37.50776723335992) | (-122.22074861629703, 37.46610222876345) | 
497   | driver  |                       [11, 12] | (-121.95317946734087, 37.5334756657483) | (-122.27105490498992, 37.48661707228845) | 
498   | rider   |                         [6, 7] | (-121.97599644714896, 37.557955529813526) | (-122.2028375848376, 37.513185971777624) | 
499   | driver  |               [10, 11, 12, 13] | (-121.95693761405643, 37.53111168793975) | (-122.23495942828202, 37.50185759292472) | 
500   | driver  |                      [6, 7, 8] | (-121.93429738719551, 37.50558825233296) | (-122.1247632128788, 37.45541933685265) | 
501   | rider   |                         [5, 6] | (-121.95301196998481, 37.53234847078596) | (-122.1558482769715, 37.50245942731207) | 
502   | rider   |                        [9, 10] | (-121.95521043731014, 37.53183924431332) | (-122.21897057250685, 37.49855668526964) | 
503   | rider   |                 [8, 9, 10, 11] | (-122.01180204574803, 37.5620438247211) | (-122.14135861017509, 37.462034438171884) | 
504   | rider   |                         [6, 7] | (-121.95486468484488, 37.53031361686669) | (-122.10003794573704, 37.382121043562115) | 
505   | driver  |                            [7] | (-121.97442833529901, 37.55944986712132) | (-122.06648257989872, 37.36612575185663) | 
506   | driver  |                    [9, 10, 11] | (-121.97337092780366, 37.553987241431734) | (-122.24349985914458, 37.48935354523982) | 
507   | driver  |                        [9, 10] | (-121.97615384149353, 37.5582501871971) | (-122.23591870206465, 37.48704791709053) | 
508   | rider   |                    [9, 10, 11] | (-121.97844356737072, 37.55246161124702) | (-122.05762580566773, 37.363136863402374) | 
509   | rider   |                         [8, 9] | (-121.9751777038232, 37.55626361686152) | (-122.1228385459076, 37.38429149515912) | 
510   | rider   |                   [6, 7, 8, 9] | (-121.95046171908086, 37.53870934389631) | (-122.25256022196412, 37.481339274254466) | 
511   | rider   |                         [6, 7] | (-121.97972935679788, 37.56081125523119) | (-122.15656328061681, 37.432403811722736) | 
512   | rider   |                  [7, 8, 9, 10] | (-121.93686174500183, 37.50671791772568) | (-122.14456044136818, 37.469692439889656) | 
513   | rider   |                      [3, 4, 5] | (-121.95116815424383, 37.53836070325901) | (-122.24896797477032, 37.45019597837346) | 
514   | driver  |                        [9, 10] | (-121.95264279983648, 37.53858324251433) | (-122.22527931588648, 37.4691310919812) | 
515   | driver  |                    [9, 10, 11] | (-121.94868938926095, 37.52721948427605) | (-122.06825293412982, 37.384926025077256) | 
516   | rider   |          [2, 3, 4, 5, 6, 7, 8] | (-122.00539908035093, 37.56521035167328) | (-122.23616390024064, 37.48774209729244) | 
517   | driver  |     [8, 9, 10, 11, 12, 13, 14] | (-121.94687823401893, 37.530613061308856) | (-122.24333495911063, 37.46545938559403) | 
518   | driver  |                            [5] | (-121.97246402636908, 37.56238698681592) | (-122.07918297487873, 37.35644830644125) | 
519   | rider   |                      [2, 3, 4] | (-121.97828111477301, 37.55862146714736) | (-122.24619608858124, 37.474922429542985) | 
520   | rider   |                         [6, 7] | (-122.00970127103561, 37.55878386953479) | (-122.13557634499254, 37.47283789843224) | 
521   | rider   |                      [4, 5, 6] | (-121.94626731663014, 37.53099584149468) | (-122.16332629628684, 37.49022832288809) | 
522   | rider   |                            [3] | (-122.00451344060774, 37.56188420406392) | (-122.121817295415, 37.46659782522271) | 
523   | rider   |                         [6, 7] | (-121.9395074689086, 37.50121046207333) | (-122.22993866486203, 37.4867022661929) | 
524   | rider   |                           [10] | (-122.008635274799, 37.55527509678269) | (-122.12050939711816, 37.48565229125115) | 
525   | rider   |                            [8] | (-121.95347291235643, 37.53253808131467) | (-122.23288350134439, 37.46718969259555) | 
526   | rider   |                       [10, 11] | (-122.00901532520659, 37.55809561766113) | (-122.07684179405385, 37.36925259360565) | 
527   | rider   |               [11, 12, 13, 14] | (-121.93773264140873, 37.506780819446874) | (-122.1449555949058, 37.47898513547701) | 
528   | driver  |                   [12, 13, 14] | (-122.01382186042116, 37.55964219786805) | (-122.06052013026431, 37.4189365637036) | 
529   | driver  |                       [10, 11] | (-121.95570134128447, 37.526047270884895) | (-122.0911010538537, 37.35610658040515) | 
530   | rider   |                         [6, 7] | (-121.93815086028913, 37.500229749852146) | (-122.15344968054329, 37.49612826615147) | 
531   | rider   |                [9, 10, 11, 12] | (-121.97942198607316, 37.560376736130266) | (-122.10073660934351, 37.39978785011373) | 
532   | rider   |                      [4, 5, 6] | (-121.94548531490466, 37.50303522442297) | (-122.08420956059527, 37.343114638646284) | 
533   | rider   |             [1, 2, 3, 4, 5, 6] | (-121.97679643950853, 37.557920291858515) | (-122.07551815760054, 37.34367545654221) | 
534   | driver  |                     [8, 9, 10] | (-121.9487748192455, 37.53247543325382) | (-122.24797230803307, 37.486176045875084) | 
535   | rider   |                           [12] | (-121.95362236562225, 37.53294033447569) | (-122.08071185391123, 37.41958823854376) | 
536   | driver  |             [8, 9, 10, 11, 12] | (-121.97552188544917, 37.56125794217282) | (-122.10093607456548, 37.46108750876235) | 
537   | driver  |                         [7, 8] | (-122.00481537673247, 37.56393734949011) | (-122.23799304813055, 37.4883070704384) | 
538   | driver  |                   [3, 4, 5, 6] | (-121.93539407211941, 37.498387355548566) | (-122.2422201731031, 37.51926528116549) | 
539   | rider   |                   [6, 7, 8, 9] | (-121.95484190274145, 37.530743021839555) | (-122.07657883502687, 37.39544719448982) | 
540   | rider   |                   [1, 2, 3, 4] | (-121.97808343979926, 37.56063153211753) | (-122.09611621472361, 37.38074828572594) | 
541   | rider   |         [4, 5, 6, 7, 8, 9, 10] | (-121.97876399900332, 37.56313389909982) | (-122.19962393243264, 37.49575755438487) | 
542   | rider   |                    [9, 10, 11] | (-122.00229122464128, 37.55327558074945) | (-122.1294860678653, 37.448068044217685) | 
543   | rider   |                            [8] | (-122.00986140697529, 37.56179749170079) | (-122.1472905408669, 37.476684062489525) | 
544   | driver  |                         [5, 6] | (-121.97754452133293, 37.55209504362771) | (-122.10575182026628, 37.37259760238295) | 
545   | driver  |                     [8, 9, 10] | (-122.00382499442007, 37.55313272306481) | (-122.24816669325955, 37.4888757848549) | 
546   | driver  |                           [10] | (-121.97108485425711, 37.559880151086645) | (-122.08199465229991, 37.363189729899545) | 
547   | rider   |                   [2, 3, 4, 5] | (-122.00409743419934, 37.56247876337392) | (-122.08261860359686, 37.37275095162116) | 
548   | rider   |                      [6, 7, 8] | (-121.97733159111799, 37.55635401938591) | (-122.23441782495617, 37.4699451191485) | 
549   | rider   |                   [2, 3, 4, 5] | (-122.00658062874967, 37.55413616067971) | (-122.16005501401924, 37.46855614264345) | 
550   | rider   |                      [5, 6, 7] | (-122.00304777797153, 37.563855004478604) | (-122.10257605662677, 37.373600232962644) | 
551   | driver  |                   [5, 6, 7, 8] | (-121.97860353107502, 37.55381635777214) | (-122.08878053671519, 37.38574990067011) | 
552   | rider   |                    [9, 10, 11] | (-122.01067209104586, 37.55883900674385) | (-122.1502121219958, 37.46409932098967) | 
553   | rider   |                      [5, 6, 7] | (-121.94796544384106, 37.531157155035885) | (-122.1138807756287, 37.37158829592917) | 
554   | rider   |                   [11, 12, 13] | (-121.95311837586792, 37.53183348894582) | (-122.09031992382667, 37.389514925974225) | 
555   | driver  |                    [9, 10, 11] | (-121.9763963080711, 37.553718343982794) | (-122.12549809025593, 37.44040181670941) | 
556   | rider   |                       [11, 12] | (-121.97919409394977, 37.557486226196524) | (-122.23391189265922, 37.48880660875743) | 
557   | driver  |                         [6, 7] | (-121.9536767626881, 37.529616438975694) | (-122.16321681974811, 37.48818793071015) | 
558   | driver  |                            [3] | (-121.94443772435963, 37.496824603960754) | (-122.14503290927043, 37.46708713255087) | 
559   | driver  |                       [11, 12] | (-122.00710311810498, 37.55833649473275) | (-122.15184444862808, 37.48130949341195) | 
560   | rider   |                   [11, 12, 13] | (-121.9356102928506, 37.497495628269334) | (-122.24013654228602, 37.45771409261484) | 
561   | rider   |                            [8] | (-121.93862671237763, 37.5020175627819) | (-122.07640325188595, 37.36518062027162) | 
562   | rider   |                 [8, 9, 10, 11] | (-121.95312660844712, 37.53261329863412) | (-122.24305646786235, 37.50167173577595) | 
563   | driver  |                      [7, 8, 9] | (-121.95358458685219, 37.53505182653126) | (-122.15991781891755, 37.481442693067976) | 
564   | rider   |                    [9, 10, 11] | (-121.9562888155464, 37.52852796349043) | (-122.11724021169249, 37.38644233228396) | 
565   | driver  |                       [13, 14] | (-121.93697686675974, 37.50153193591523) | (-122.23770993833335, 37.489232064463074) | 
566   | driver  |                       [11, 12] | (-122.00552176937158, 37.55387673622692) | (-122.0788590971255, 37.38292539271676) | 
567   | driver  |                 [8, 9, 10, 11] | (-121.97666439331272, 37.55796972831477) | (-122.14394803455677, 37.46726866908145) | 
568   | driver  |                   [5, 6, 7, 8] | (-122.00748984644878, 37.55820529581777) | (-122.1433098724095, 37.49901210534299) | 
569   | driver  |                   [12, 13, 14] | (-122.00767980508054, 37.558590036972696) | (-122.2466620484927, 37.51530710834734) | 
570   | rider   |                   [11, 12, 13] | (-122.00709273461632, 37.55801810770932) | (-122.2290488575671, 37.450479796237076) | 
571   | driver  |                       [10, 11] | (-122.01038587507429, 37.55782069502091) | (-122.12249495197263, 37.45255385571029) | 
572   | driver  |                         [8, 9] | (-121.95159774167739, 37.527701473385214) | (-122.27824546746871, 37.47834238604838) | 
573   | driver  |             [4, 5, 6, 7, 8, 9] | (-122.00797277194418, 37.55540863100334) | (-122.13970547924286, 37.429545010197195) | 
574   | driver  |                  [7, 8, 9, 10] | (-121.93865630651278, 37.503350279007) | (-122.1392011091603, 37.495659629473245) | 
575   | rider   |                      [7, 8, 9] | (-121.94660831588544, 37.53275275287038) | (-122.0633915119647, 37.35180686801917) | 
576   | driver  |          [3, 4, 5, 6, 7, 8, 9] | (-121.9394133594902, 37.50196881336413) | (-122.19842593947135, 37.48914371198079) | 
577   | driver  |                         [8, 9] | (-122.00822255085423, 37.55557659801918) | (-122.11015744178297, 37.37036201631651) | 
578   | driver  |                         [3, 4] | (-121.9424860293843, 37.49828776591499) | (-122.25817396534717, 37.49426294484794) | 
579   | driver  |                    [9, 10, 11] | (-122.00780826845, 37.55895473349965) | (-122.14606382195934, 37.460141756425955) | 
580   | rider   |                 [8, 9, 10, 11] | (-121.97939801984572, 37.55370913447458) | (-122.16646704277782, 37.468948239538804) | 
581   | rider   |                         [4, 5] | (-122.0066766658567, 37.55682399649854) | (-122.08436707926191, 37.38457571762219) | 
582   | driver  |             [4, 5, 6, 7, 8, 9] | (-121.9785000753215, 37.55128498630923) | (-122.08786040092707, 37.39964574066199) | 
583   | rider   |                    [9, 10, 11] | (-121.97617003703951, 37.56290880634015) | (-122.27596760092365, 37.48994481210803) | 
584   | driver  |                      [7, 8, 9] | (-121.98214929196844, 37.556093907770205) | (-122.15335261830194, 37.45456067991834) | 
585   | driver  |                         [7, 8] | (-121.93997207385651, 37.49708424313649) | (-122.12473154984748, 37.45556301820812) | 
586   | rider   |                   [10, 11, 12] | (-121.97701682633361, 37.55792191990366) | (-122.07708552410678, 37.369364590053095) | 
587   | driver  |                         [7, 8] | (-121.93705577505324, 37.5040662675918) | (-122.23237026330835, 37.48832779528207) | 
588   | rider   |                [4, 5, 6, 7, 8] | (-122.00295333049472, 37.558364353720464) | (-122.1357666808499, 37.44036915165595) | 
589   | driver  |                            [8] | (-121.94815330892914, 37.52905246859009) | (-122.15981065047534, 37.50279801282097) | 
590   | rider   |                     [8, 9, 10] | (-121.94168857501397, 37.49999607971364) | (-122.21961278173042, 37.46945338921644) | 
591   | rider   |                 [8, 9, 10, 11] | (-122.00178225150421, 37.55926537353142) | (-122.2735668601514, 37.484177989583195) | 
592   | rider   |                      [4, 5, 6] | (-121.97401786710248, 37.55744060042012) | (-122.14398755607834, 37.481966332660704) | 
593   | driver  |                       [10, 11] | (-121.9372388491024, 37.50575290246086) | (-122.12439710500087, 37.48591050345872) | 
594   | rider   |                   [5, 6, 7, 8] | (-121.95763446654752, 37.53275580260069) | (-122.23992814076558, 37.49350240680993) | 
595   | rider   |                      [3, 4, 5] | (-122.00820506703862, 37.56050058250127) | (-122.23563975278141, 37.493074904334165) | 
596   | driver  |               [11, 12, 13, 14] | (-121.93354750353737, 37.50181346569312) | (-122.10954736467373, 37.380409452967776) | 
597   | rider   |                      [5, 6, 7] | (-121.95497680640618, 37.53000469312179) | (-122.0757142671123, 37.413398096456994) | 
598   | driver  |                         [3, 4] | (-122.00633014077489, 37.56381513294523) | (-122.22516681413664, 37.518636375981814) | 
599   | driver  |                         [7, 8] | (-121.97661393674136, 37.56075949214505) | (-122.04571111677306, 37.37487716771606) | 
600   | rider   |                      [4, 5, 6] | (-121.97556980443126, 37.556983322345914) | (-122.23888665841582, 37.483063824456195) | 
601   | driver  |                  [7, 8, 9, 10] | (-121.97684744697142, 37.55808376248823) | (-122.09342530896944, 37.42193704207749) | 
602   | rider   |                            [7] | (-122.00148779593582, 37.558851501865675) | (-122.14167868024595, 37.46500592134303) | 
603   | driver  |                         [6, 7] | (-121.95198324892567, 37.52846046053244) | (-122.24156903768211, 37.488641250658645) | 
604   | driver  |                       [12, 13] | (-121.93713682199913, 37.50785579675056) | (-122.14699444590894, 37.46176127539981) | 
605   | rider   |                   [10, 11, 12] | (-121.9574776979582, 37.530145981583004) | (-122.10366336929752, 37.355015400908485) | 
606   | rider   |                      [7, 8, 9] | (-122.00792921802596, 37.558378796904876) | (-122.0930935593594, 37.37923389689872) | 
607   | driver  |                      [5, 6, 7] | (-121.95592020957906, 37.52615610728748) | (-122.15358139195692, 37.464691689393554) | 
608   | driver  |                      [7, 8, 9] | (-121.97508120155658, 37.557506117644685) | (-122.07514369310353, 37.376681796777376) | 
609   | rider   |                [9, 10, 11, 12] | (-121.9788384392737, 37.556924047817645) | (-122.05626110594788, 37.35729692597382) | 
610   | driver  |                         [8, 9] | (-121.94369653075286, 37.506923618814255) | (-122.1176990314255, 37.459582848410975) | 
611   | rider   |                      [7, 8, 9] | (-122.00184845863215, 37.55300588105938) | (-122.0808103612564, 37.38423391059322) | 
612   | driver  |                       [10, 11] | (-122.01189764125378, 37.55845450133343) | (-122.05278024520904, 37.36098888762995) | 
613   | rider   |                      [6, 7, 8] | (-121.97645406514819, 37.557221103665974) | (-122.15953200702789, 37.48886689737576) | 
614   | rider   |               [11, 12, 13, 14] | (-121.94352577847344, 37.504170449743214) | (-122.15913252246528, 37.48523255812292) | 
615   | rider   |                         [4, 5] | (-122.00776104990086, 37.55766875729443) | (-122.08207340343085, 37.41088618336455) | 
616   | rider   |                         [6, 7] | (-121.94140860447416, 37.50352040037133) | (-122.19466886163188, 37.49867701477911) | 
617   | rider   |                         [4, 5] | (-122.00532625690794, 37.553520457931434) | (-122.24130661473131, 37.4883668376116) | 
618   | driver  |                         [7, 8] | (-121.9502176519196, 37.526055829851565) | (-122.22807436118333, 37.48100862650831) | 
619   | rider   |                       [13, 14] | (-122.0072569243626, 37.56256140197769) | (-122.08621760984373, 37.39038290160291) | 
620   | rider   |                [4, 5, 6, 7, 8] | (-121.93383555038571, 37.497853346184094) | (-122.23732956626401, 37.496015722665774) | 
621   | rider   |                         [8, 9] | (-121.9391988905275, 37.501781329268255) | (-122.23323877078944, 37.448502858600875) | 
622   | driver  |                      [2, 3, 4] | (-122.00192865416466, 37.55397053658373) | (-122.08736499713555, 37.382358026051925) | 
623   | driver  |                 [8, 9, 10, 11] | (-121.95185852723975, 37.53226756242539) | (-122.23544684736976, 37.48786750672337) | 
624   | driver  |                      [7, 8, 9] | (-121.97985142338574, 37.56343601024618) | (-122.14756337708468, 37.46587898799579) | 
625   | driver  |             [4, 5, 6, 7, 8, 9] | (-121.95258364690446, 37.52731489017061) | (-122.22848491515187, 37.48005329983907) | 
626   | driver  |                       [11, 12] | (-121.94396078358, 37.504012739781786) | (-122.16683132276118, 37.466736517818674) | 
627   | driver  |                            [6] | (-121.97761743922186, 37.55953130194715) | (-122.06988739379304, 37.367276025420594) | 
628   | rider   |                       [10, 11] | (-122.00466511448847, 37.55737533052425) | (-122.08149672633577, 37.38398904653144) | 
629   | driver  |                      [2, 3, 4] | (-122.00899709510212, 37.5584545217391) | (-122.06326464405208, 37.40313432699897) | 
630   | driver  |                     [8, 9, 10] | (-122.0103118812718, 37.55193940865156) | (-122.24230038471778, 37.4801144275361) | 
631   | rider   |                [5, 6, 7, 8, 9] | (-122.00232278130309, 37.55623021720089) | (-122.08501011314337, 37.3958709036312) | 
632   | rider   |                   [6, 7, 8, 9] | (-121.93599512978508, 37.50492883776511) | (-122.21883859184072, 37.45650560051057) | 
633   | rider   |       [6, 7, 8, 9, 10, 11, 12] | (-121.94094920601161, 37.5002640212819) | (-122.23804693103156, 37.4613905548075) | 
634   | rider   |                      [4, 5, 6] | (-121.95447828743735, 37.5318910581802) | (-122.07369935664826, 37.35251219046425) | 
635   | driver  |                           [12] | (-121.95511124643325, 37.53360016155623) | (-122.26246181864619, 37.521580504901905) | 
636   | rider   |                [5, 6, 7, 8, 9] | (-121.95365656148503, 37.53278806694109) | (-122.23599627165636, 37.48369783287791) | 
637   | driver  |                         [5, 6] | (-121.95433439832392, 37.526476275197936) | (-122.15279477034225, 37.46359140643236) | 
638   | rider   |                         [7, 8] | (-121.97210313099038, 37.55926700748815) | (-122.1425822032382, 37.44924605192204) | 
639   | rider   |                         [8, 9] | (-121.94647426581132, 37.50420449258723) | (-122.04058596114292, 37.39587823894961) | 
640   | rider   |                      [5, 6, 7] | (-122.00825177534212, 37.55907082878734) | (-122.10986878205459, 37.38649851613975) | 
641   | rider   |                           [11] | (-121.97874984018478, 37.552883794360625) | (-122.21277046597301, 37.51903971695222) | 
642   | rider   |                  [7, 8, 9, 10] | (-121.98068634210779, 37.55597514641245) | (-122.0575178537512, 37.36678257547707) | 
643   | rider   |                   [5, 6, 7, 8] | (-121.95599398378059, 37.53589126187982) | (-122.24663735173044, 37.514882107425045) | 
644   | rider   |           [10, 11, 12, 13, 14] | (-121.95659029083244, 37.53667936854848) | (-122.25895141708142, 37.468917577930874) | 
645   | rider   |                         [8, 9] | (-121.97735966864808, 37.559990082724745) | (-122.14362700319775, 37.46620904488665) | 
646   | rider   |                      [6, 7, 8] | (-122.0135576209997, 37.56042292082463) | (-122.25986348722851, 37.50634131983795) | 
647   | rider   |                         [6, 7] | (-122.00973443881404, 37.552473238098464) | (-122.07559434603905, 37.401701886786135) | 
648   | rider   |                      [6, 7, 8] | (-121.93576360620494, 37.49591517410947) | (-122.11586305729385, 37.479631390549706) | 
649   | rider   |                   [5, 6, 7, 8] | (-121.9782928569789, 37.55406744748414) | (-122.08634868389011, 37.400780833265394) | 
650   | driver  |                [1, 2, 3, 4, 5] | (-122.00692708616208, 37.55846422097395) | (-122.25695825236323, 37.46810875182749) | 
651   | rider   |                       [11, 12] | (-121.97592775473744, 37.55280708803413) | (-122.11969425718065, 37.38816085650681) | 
652   | driver  |                       [10, 11] | (-122.00803763070321, 37.55643071380834) | (-122.14431241819867, 37.46881797567104) | 
653   | rider   |                      [1, 2, 3] | (-122.00753772790645, 37.55751419871595) | (-122.23102334919035, 37.48823583886751) | 
654   | driver  |      [7, 8, 9, 10, 11, 12, 13] | (-121.97742770880629, 37.55778930904473) | (-122.17629453952036, 37.438759839543714) | 
655   | rider   |                           [10] | (-121.97460505572543, 37.55987119227281) | (-122.09773307560613, 37.37345324753584) | 
656   | rider   |                    [9, 10, 11] | (-121.9823563496466, 37.55993569021154) | (-122.11168393909789, 37.36255317676914) | 
657   | driver  |                   [10, 11, 12] | (-121.95292158697139, 37.528834090965695) | (-122.22266003018994, 37.491182782209734) | 
658   | rider   |                      [7, 8, 9] | (-121.93941183150949, 37.50359023051781) | (-122.16060319642288, 37.467924890426666) | 
659   | rider   |                         [4, 5] | (-121.94578961883231, 37.499985917113875) | (-122.10325968871008, 37.38016888858718) | 
660   | rider   |                   [1, 2, 3, 4] | (-122.0060063655928, 37.5549381618893) | (-122.1760481769718, 37.473777950590296) | 
661   | rider   |                      [5, 6, 7] | (-122.01275093266209, 37.560448184497496) | (-122.11206073381247, 37.36887583764648) | 
662   | rider   |      [3, 4, 5, 6, 7, 8, 9, 10] | (-121.94117111534413, 37.49636552987085) | (-122.07454128515741, 37.388820117778224) | 
663   | rider   |                        [9, 10] | (-121.95330693023614, 37.53170985042274) | (-122.1493872172925, 37.433053514243035) | 
